filename,descrizione,contesto_di_provenienza,note
images/010x_DSC6424.jpg,010x DSC6424,https://albergoalgobbo.it/facilities-2/,
images/010x_DSC6455-1.jpg,010x DSC6455 1,https://albergoalgobbo.it/galleria/,
images/010x_DSC6460_sep.jpg,010x DSC6460 sep,https://albergoalgobbo.it/galleria/,
images/010x_DSC6509.jpg,010x DSC6509,https://albergoalgobbo.it/galleria/,
images/010x_DSC6539.jpg,010x DSC6539,https://albergoalgobbo.it/galleria/,
images/010x_DSC6544.jpg,010x DSC6544,https://albergoalgobbo.it/galleria/,
images/010x_DSC6557.jpg,010x DSC6557,https://albergoalgobbo.it/galleria/,
images/010x_DSC6565_sep.jpg,010x DSC6565 sep,https://albergoalgobbo.it/galleria/,
images/010x_DSC6578_1-e1586194244292.jpg,010x DSC6578 1 e1586194244292,https://albergoalgobbo.it/gallery/,
images/010x_DSC6580.jpg,010x DSC6580,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/010x_DSC6607.jpg,010x DSC6607,https://albergoalgobbo.it/facilities-2/,
images/010x_DSC6647_sep.jpg,010x DSC6647 sep,https://albergoalgobbo.it/galleria/,
images/15221.jpg,COLAZIONE,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/Palazzo_ducale-4-720x470.jpg,Palazzo ducale 4 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/Palazzo_ducale-4.jpg,Palazzo Ducale,https://albergoalgobbo.it/places/palazzo-ducale/,
images/Rialto-720x470.jpg,Rialto 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/Rialto.jpg,Ponte Rialto,https://albergoalgobbo.it/places/ponte-rialto/,
images/Venezia_-_Ponte_dei_Sospiri-1-720x470.jpg,Venezia   Ponte dei Sospiri 1 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/Venezia_-_Ponte_dei_Sospiri-1.jpg,Ponte dei sospiri,https://albergoalgobbo.it/places/ponte-dei-sospiri/,
images/ac.jpg,ARIA,https://albergoalgobbo.it/,
images/air-conditioner.png,ARIA,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/albergo-al-gobbo-calle.jpg,albergo al gobbo calle,https://albergoalgobbo.it/galleria/,
images/albergo-al-gobbo-facciata-di-notte.jpg,albergo al gobbo facciata di notte,https://albergoalgobbo.it/gallery/,
images/albergo-al-gobbo-piazzetta-di-notte.jpg,albergo al gobbo piazzetta di notte,https://albergoalgobbo.it/galleria/,
images/albergo-al-gobbo-vista-s-geremia.jpg,albergo al gobbo vista s geremia,https://albergoalgobbo.it/gallery/,
images/albergo-al-gobbo-vista-su-campo.jpg,albergo al gobbo vista su campo,https://albergoalgobbo.it/galleria/,
images/albero-al-gobbo-facciata.jpg,albero al gobbo facciata,https://albergoalgobbo.it/galleria/,
images/calatrava-720x470.jpg,calatrava 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/calatrava.jpg,Piazzale Roma,https://albergoalgobbo.it/places/piazzale-roma/,
images/camera-basic-con-AC-wc-esterno-cop-720x470.jpg,Camera Basic con AC (wc esterno),https://albergoalgobbo.it/camere/,
images/camera-comfort2-4-algobbo.jpg,camera comfort2 4 algobbo,https://albergoalgobbo.it/galleria/,
images/camera-economy-singola-cop-1024x684.jpg,camera economy singola cop 1024x684,https://albergoalgobbo.it/,
images/camera-economy-singola-cop-300x200.jpg,camera economy singola cop 300x200,https://albergoalgobbo.it/,
images/camera-economy-singola-cop-720x470.jpg,Camera Economy Singola con bagno condiviso,https://albergoalgobbo.it/rooms/,
images/camera-economy-singola-cop-768x513.jpg,camera economy singola cop 768x513,https://albergoalgobbo.it/,
images/camera-economy-singola-cop-80x53.jpg,camera economy singola cop 80x53,https://albergoalgobbo.it/,
images/camera-economy-singola-cop.jpg,camera economy singola cop,https://albergoalgobbo.it/,
images/camera-seppia.jpg,camera seppia,https://albergoalgobbo.it/galleria/,
images/camera-standard-singola-cop-1170x680.jpg,camera standard singola cop 1170x680,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camera-standard-singola-cop.jpg,camera standard singola cop,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camera-standard-singola1-1170x680.jpg,camera standard singola1 1170x680,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camera-standard-singola1.jpg,camera standard singola1,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camera-standard-singola2-1170x680.jpg,camera standard singola2 1170x680,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camera-standard-singola2.jpg,camera standard singola2,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camera-standard-singola3-1170x680.jpg,camera standard singola3 1170x680,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camera-standard-singola3.jpg,camera standard singola3,https://albergoalgobbo.it/rooms/camera-standard-singola-con-bagno/,
images/camposangeremia-720x470.jpg,camposangeremia 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/camposangeremia.jpg,Campo San Geremia,https://albergoalgobbo.it/places/san-geremia/,
images/chi-siamo.jpg,chi siamo,https://albergoalgobbo.it/galleria/,
images/colazione-continentale.jpg,colazione continentale,https://albergoalgobbo.it/facilities-2/,
images/copertinaslide1-1.jpg,copertinaslide1 1,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/copertinaslide2-100x50.jpg,copertinaslide2 100x50,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/copertinaslide2.jpg,copertinaslide2,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/copertinaslide4-100x50.jpg,copertinaslide4 100x50,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/copertinaslide4.jpg,copertinaslide4,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/corona-anni-4.png,corona anni 4,https://albergoalgobbo.it/chi-siamo/,
images/descrizione-camera-algobbo.jpg,descrizione camera algobbo,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/dog.png,ANIMALI,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/dummy.png,dummy,https://albergoalgobbo.it/,
images/economy-db-9-2.jpg,economy db 9 2,https://albergoalgobbo.it/galleria/,
images/economy-s-5-1.jpg,economy s 5 1,https://albergoalgobbo.it/galleria/,
images/en.svg,en,https://albergoalgobbo.it/,
images/ghetto-3-720x470.jpg,ghetto 3 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/ghetto-3.jpg,Il ghetto ebraico,https://albergoalgobbo.it/places/ghetto/,
